source_row,frequency_rank,complexity,word,romanized,pos_ko,classification,hanja_ref,english,note,word_group_size,word_group_index,review_flags
3108,3468.0,C,무리,muri,명,noun,~를이루다,"group, crowd, gang, horde",,2,2,surface_duplicate
3109,3470.0,B,버터,beoteo,명,noun,butter,Butter,,1,1,
3110,3471.0,C,별다르다,byeoldareuda,형,adjective,別-,Be of a peculiar kind,,1,1,
3111,3472.0,C,보편적,bopyeonjeok,명,noun,普遍的,Universal,,1,1,
3112,3473.0,C,부품,bupum,명,noun,部品,"Parts, accessories",,1,1,
3113,3476.0,C,뻔하다,ppeonhada,형,adjective,,"almost,nearly",,2,1,surface_duplicate
3114,3477.0,C,뽑히다,ppophida,동,verb,,"Be taken out, pulled out",,1,1,
3115,3478.0,C,상담,sangdam,명,noun,相談,Consultation,,1,1,
3116,3479.0,C,서부,seobu,명,noun,西部,The western part,,1,1,
3117,3481.0,C,속담,sokdam,명,noun,俗談,"A proverb,saying",,1,1,
3118,3482.0,C,시중,sijung,명,noun,市中,In the city,,1,1,
3119,3484.0,C,심사,simsa,명,noun,審査,"judgment,examination",,1,1,
3120,3485.0,B,아이,ai,감,interjection,,Child,,2,2,surface_duplicate
3121,3486.0,C,앞세우다,apseuda,동,verb,,Make a person go,,1,1,
3122,3488.0,C,유사하다,yusahada,형,adjective,類似-,"To be similar, to resemble",,1,1,
3123,3489.0,B,유치원,yuchiwon,명,noun,幼稚園,Kindergarten,,1,1,
3124,3490.0,C,의욕,uiyok,명,noun,意欲,"volition,will,desire",,1,1,
3125,3491.0,C,인근,ingeun,명,noun,隣近,The neighborhood,,1,1,
3126,3493.0,C,일반인,ilbanin,명,noun,一般人,Of the general public,,1,1,
3127,3494.0,C,작성하다,jakseonghada,동,verb,作成-,"To edit or compose, write up ; to fill out a form",,1,1,
3128,3495.0,B,전공,jeongong,명,noun,專攻,Specialty,,1,1,
3129,3497.0,C,정기,jeonggi,명,noun,定期,A fixed time period,,1,1,
